Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	149.62534742308924	-42.36771173868598	0.0	0.0	false	null
line	+	149.62534742308924	-42.36771173868598	0.0	0.0	false	
line	+	149.57809472769156	-42.29342209822951	0.0	0.0	false	
line	+	149.51593325610574	-42.20869928118979	0.0	0.0	false	
line	+	149.46893237724328	-42.13437098886793	0.0	0.0	false	
line	+	149.40707732238403	-42.04959678861986	0.0	0.0	false	
line	+	149.3607957450385	-41.985996962372376	0.0	0.0	false	
line	+	149.28569335853243	-41.923028680632484	0.0	0.0	false	
line	+	149.23917821572488	-41.848618257228836	0.0	0.0	false	
line	+	149.14820218318803	-41.742816665840984	0.0	0.0	false	
line	+	149.07401412705025	-41.69048974943852	0.0	0.0	false	
line	+	148.98595461688558	-41.64917394366719	0.0	0.0	false	
line	+	148.88361813909123	-41.608071403565276	0.0	0.0	false	
line	+	148.79616363274903	-41.57738796646367	0.0	0.0	false	
line	+	148.67968604577254	-41.53638027344686	0.0	0.0	false	
line	+	148.5780560927521	-41.50579248277378	0.0	0.0	false	
line	+	148.4477978353562	-41.47557241889187	0.0	0.0	false	
line	+	148.34637140935126	-41.444793314624775	0.0	0.0	false	
line	+	148.25882530526457	-41.39219136683937	0.0	0.0	false	
line	+	148.1857530686775	-41.339334926329315	0.0	0.0	false	
line	+	148.12686099827084	-41.27548074221286	0.0	0.0	false	
line	+	148.06808396251836	-41.2115990951118	0.0	0.0	false	
line	+	148.0091821041233	-41.13692109828737	0.0	0.0	false	
line	+	147.9504143373119	-41.062215863224964	0.0	0.0	false	
line	+	147.877521870518	-40.987641636692516	0.0	0.0	false	
line	+	147.80479374560022	-40.91302496745023	0.0	0.0	false	
line	+	147.7324220053937	-40.84913482488907	0.0	0.0	false	
line	+	147.64579490101482	-40.774564702636134	0.0	0.0	false	
line	+	147.55903270802068	-40.678396397414026	0.0	0.0	false	
line	+	147.48699752507764	-40.603594500638664	0.0	0.0	false	
line	+	147.41498229541546	-40.51798220309586	0.0	0.0	false	
line	+	147.35768563403556	-40.46453856009906	0.0	0.0	false	
line	+	147.30011417556233	-40.37876259775106	0.0	0.0	false	
line	+	147.24268889322644	-40.29296046092526	0.0	0.0	false	
line	+	147.19950472088877	-40.20705497457209	0.0	0.0	false	
line	+	147.15662651411148	-40.14267171005711	0.0	0.0	false	
line	+	147.14196802914836	-40.07813441367301	0.0	0.0	false	
line	+	147.12705772125514	-39.9812916225203	0.0	0.0	false	
line	+	147.12640617475236	-39.90591547453806	0.0	0.0	false	
line	+	147.1257568400832	-39.83054005523218	0.0	0.0	false	
line	+	147.12492521543845	-39.733629820078285	0.0	0.0	false	
line	+	147.1242808995457	-39.65825594389471	0.0	0.0	false	
line	+	147.12363876339364	-39.58288268927252	0.0	0.0	false	
line	+	147.12290755021766	-39.49674254612973	0.0	0.0	false	
line	+	147.12227005256872	-39.42137051366811	0.0	0.0	false	
line	+	147.10762425299745	-39.33529974766121	0.0	0.0	false	
line	+	147.06537296322531	-39.270890246152355	0.0	0.0	false	
line	+	147.00915871732013	-39.184988178068906	0.0	0.0	false	
line	+	146.9670882270813	-39.12054461075398	0.0	0.0	false	
line	+	146.91111389912732	-39.03459721415265	0.0	0.0	false	
line	+	146.85537413177627	-38.970158391512506	0.0	0.0	false	
line	+	146.7997763960239	-38.91646091534578	0.0	0.0	false	
line	+	146.7027538777032	-38.85203799731964	0.0	0.0	false	
line	+	146.59208424748041	-38.77677705235573	0.0	0.0	false	
line	+	146.5092372106448	-38.712188565969214	0.0	0.0	false	
line	+	146.42660131995024	-38.60447407678829	0.0	0.0	false	
line	+	146.35784111272937	-38.55055858928662	0.0	0.0	false	
line	+	146.30294083187187	-38.49663051285322	0.0	0.0	false	
line	+	146.2207208094957	-38.42107436673386	0.0	0.0	false	
line	+	146.138730146587	-38.33469434862395	0.0	0.0	false	
line	+	146.08428789341124	-38.25913134341396	0.0	0.0	false	
line	+	146.03003203939258	-38.172776463505414	0.0	0.0	false	
line	+	146.00310746342237	-38.108055986611525	0.0	0.0	false	
line	+	145.9627256065492	-38.02173055812671	0.0	0.0	false	
line	+	145.96330864056964	-37.94636268911172	0.0	0.0	false	
line	+	145.95016554003695	-37.88169500352963	0.0	0.0	false	
line	+	145.93721824170152	-37.79549202766822	0.0	0.0	false	
line	+	145.92421193186564	-37.720054292611835	0.0	0.0	false	
line	+	145.9113213232041	-37.633848007342664	0.0	0.0	false	
line	+	145.88497344160234	-37.536798939153876	0.0	0.0	false	
line	+	145.83137105194152	-37.461118362428664	0.0	0.0	false	
line	+	145.79132009427536	-37.396266443797174	0.0	0.0	false	
line	+	145.7513380029092	-37.33140058710539	0.0	0.0	false	
line	+	145.68473210422965	-37.23402684710423	0.0	0.0	false	
line	+	145.65856254242823	-37.15845887864561	0.0	0.0	false	
line	+	145.64593976886817	-37.08298799077518	0.0	0.0	false	
line	+	145.61998910644735	-36.99664335487832	0.0	0.0	false	
line	+	145.60729818446288	-36.93193438132405	0.0	0.0	false	
line	+	145.59476090115672	-36.85645643360393	0.0	0.0	false	
line	+	145.59555649761717	-36.791853008775064	0.0	0.0	false	
line	+	145.67670130820454	-36.74940577533378	0.0	0.0	false	
line	+	145.75753675826132	-36.728436589669215	0.0	0.0	false	
line	+	145.83822971595288	-36.71817855916214	0.0	0.0	false	
line	+	145.91907347601477	-36.6863288315767	0.0	0.0	false	
line	+	145.99992425526253	-36.643654681009494	0.0	0.0	false	
line	+	146.01377865974538	-36.57910795934157	0.0	0.0	false	
line	+	146.00104194850033	-36.48213527345453	0.0	0.0	false	
line	+	145.97480833362084	-36.40663273391456	0.0	0.0	false	
line	+	145.92198426904324	-36.32021731436032	0.0	0.0	false	
line	+	145.86918543026107	-36.244545048788574	0.0	0.0	false	
line	+	145.80335620607738	-36.14722749487435	0.0	0.0	false	
line	+	145.76400103385635	-36.08235714330647	0.0	0.0	false	
line	+	145.7112886556126	-36.02814712608281	0.0	0.0	false	
line	+	145.65889000122664	-35.952375291599324	0.0	0.0	false	
line	+	145.60646470248653	-35.887347343195565	0.0	0.0	false	
line	+	145.55426004161328	-35.81152601133168	0.0	0.0	false	
line	+	145.50215517840715	-35.73567994907396	0.0	0.0	false	
line	+	145.46325137211377	-35.670702501732585	0.0	0.0	false	
line	+	145.42441083116591	-35.605711069490745	0.0	0.0	false	
line	+	145.3728792052962	-35.50826495058899	0.0	0.0	false	
line	+	145.32114343518828	-35.43233230793783	0.0	0.0	false	
line	+	145.28253271435366	-35.367289703685515	0.0	0.0	false	
line	+	145.25717181339837	-35.30238137829811	0.0	0.0	false	
line	+	145.20621307311177	-35.19408441138364	0.0	0.0	false	
line	+	145.16799078669152	-35.118229925504906	0.0	0.0	false	
line	+	145.12983925578922	-35.04236130823159	0.0	0.0	false	
line	+	145.09214379164672	-34.9449384645452	0.0	0.0	false	
line	+	145.09329860990331	-34.880317459275865	0.0	0.0	false	
line	+	145.08153611590518	-34.80475795397036	0.0	0.0	false	
line	+	145.08288733330804	-34.729364068314794	0.0	0.0	false	
line	+	145.0842342370803	-34.65396864220698	0.0	0.0	false	
line	+	145.17670365455032	-34.601247634752326	0.0	0.0	false	
line	+	145.26821600320463	-34.602307309355425	0.0	0.0	false	
line	+	145.3858779669485	-34.603560779020334	0.0	0.0	false	
line	+	145.49046917510685	-34.60457205285592	0.0	0.0	false	
line	+	145.5687866158254	-34.616038690909036	0.0	0.0	false	
line	+	145.65985734668828	-34.659867736560635	0.0	0.0	false	
line	+	145.72484547545952	-34.70343942373204	0.0	0.0	false	
line	+	145.80280681659386	-34.768601340048036	0.0	0.0	false	
line	+	145.86778170810138	-34.83363247592949	0.0	0.0	false	
line	+	145.91965696338292	-34.909326590059365	0.0	0.0	false	
line	+	145.98476547109607	-34.985059417571755	0.0	0.0	false	
line	+	146.01061978030611	-35.04980887632512	0.0	0.0	false	
line	+	146.06270480799813	-35.13620428579141	0.0	0.0	false	
line	+	146.10184203180734	-35.20098402087783	0.0	0.0	false	
line	+	146.16721138735687	-35.308918163806105	0.0	0.0	false	
line	+	146.21976051983341	-35.362925804526874	0.0	0.0	false	
line	+	146.27238101385788	-35.4169085577547	0.0	0.0	false	
line	+	146.36465614343766	-35.503240861892984	0.0	0.0	false	
line	+	146.43071348828175	-35.54639738964221	0.0	0.0	false	
line	+	146.5100825291048	-35.578748493610135	0.0	0.0	false	
line	+	146.6027172591266	-35.56795714436065	0.0	0.0	false	
line	+	146.68201222914513	-35.514029254868156	0.0	0.0	false	
line	+	146.70829026615522	-35.43860042649333	0.0	0.0	false	
line	+	146.708144877488	-35.3739790277337	0.0	0.0	false	
line	+	146.69476525375617	-35.28783561680924	0.0	0.0	false	
line	+	146.66828009103537	-35.2232471717592	0.0	0.0	false	
line	+	146.64182286679377	-35.14788076386534	0.0	0.0	false	
line	+	146.62857981709493	-35.083267263143384	0.0	0.0	false	
line	+	146.6284870215543	-35.007869356809934	0.0	0.0	false	
line	+	146.64153740919204	-34.94322931334247	0.0	0.0	false	
line	+	146.65456692106062	-34.87858673296635	0.0	0.0	false	
line	+	146.6806842590382	-34.81392489992252	0.0	0.0	false	
line	+	146.70675990148277	-34.74925597418916	0.0	0.0	false	
line	+	146.74588165576256	-34.68455570207634	0.0	0.0	false	
line	+	146.82413360166464	-34.60897312423857	0.0	0.0	false	
line	+	146.91545667846347	-34.565608308386864	0.0	0.0	false	
line	+	147.01974383054562	-34.52211322849135	0.0	0.0	false	
line	+	147.12423404166626	-34.5216111462798	0.0	0.0	false	
line	+	147.24178389460695	-34.520930620364716	0.0	0.0	false	
line	+	147.32035859965598	-34.541953254893734	0.0	0.0	false	
line	+	147.42546518330155	-34.59503251575277	0.0	0.0	false	
line	+	147.50467699113779	-34.65901328359684	0.0	0.0	false	
line	+	147.59710795199098	-34.722814422587284	0.0	0.0	false	
line	+	147.66332791126578	-34.776033225131314	0.0	0.0	false	
line	+	147.7166842760455	-34.840121378724895	0.0	0.0	false	
line	+	147.80966470015537	-34.914515956717175	0.0	0.0	false	
line	+	147.8765469664749	-34.989147512094085	0.0	0.0	false	
line	+	147.91707252232655	-35.05329260053936	0.0	0.0	false	
line	+	147.98397803322385	-35.117088352086284	0.0	0.0	false	
line	+	148.01148998791606	-35.18136524677778	0.0	0.0	false	
line	+	148.06602689119575	-35.27758901158745	0.0	0.0	false	
line	+	148.1070718059484	-35.35243036753691	0.0	0.0	false	
line	+	148.14841632970328	-35.438024078255154	0.0	0.0	false	
line	+	148.1894003831596	-35.502064633663686	0.0	0.0	false	
line	+	148.2306847737934	-35.57685751138106	0.0	0.0	false	
line	+	148.27181122702862	-35.64086644496621	0.0	0.0	false	
line	+	148.3134955928842	-35.726394672132216	0.0	0.0	false	
line	+	148.3415033463005	-35.79058238019373	0.0	0.0	false	
line	+	148.38360432862115	-35.88684950269188	0.0	0.0	false	
line	+	148.3992109630273	-35.98353570669867	0.0	0.0	false	
line	+	148.41407647004877	-36.047918341671746	0.0	0.0	false	
line	+	148.41616910956935	-36.13405063307546	0.0	0.0	false	
line	+	148.41800654285862	-36.209415360124055	0.0	0.0	false	
line	+	148.43293721465045	-36.273793098631245	0.0	0.0	false	
line	+	148.43506524883412	-36.359921943720494	0.0	0.0	false	
line	+	148.45031269364569	-36.4350618476809	0.0	0.0	false	
line	+	148.45247063416025	-36.52118835258087	0.0	0.0	false	
line	+	148.45490793913368	-36.618079434488706	0.0	0.0	false	
line	+	148.45681069737594	-36.69343830226461	0.0	0.0	false	
line	+	148.4592662439798	-36.790327222660494	0.0	0.0	false	
line	+	148.46173212724634	-36.88721502269846	0.0	0.0	false	
line	+	148.4633818191915	-36.95180630091544	0.0	0.0	false	
line	+	148.46531231902765	-37.02716222861359	0.0	0.0	false	
line	+	148.46724915378823	-37.10251758020108	0.0	0.0	false	
line	+	148.46919234985592	-37.17787238800859	0.0	0.0	false	
line	+	148.47114193377328	-37.253226684363064	0.0	0.0	false	
line	+	148.47365797088815	-37.3501100801716	0.0	0.0	false	
line	+	148.48917727261966	-37.42523666567628	0.0	0.0	false	
line	+	148.49087785441986	-37.48982462582021	0.0	0.0	false	
line	+	148.49286794499025	-37.565176895850385	0.0	0.0	false	
line	+	148.49515038355574	-37.65129335372196	0.0	0.0	false	
line	+	148.51076467083556	-37.7264156682657	0.0	0.0	false	
line	+	148.52641330789507	-37.80153561024999	0.0	0.0	false	
line	+	148.54239120659295	-37.887417508891396	0.0	0.0	false	
line	+	148.55781429027238	-37.95176847160576	0.0	0.0	false	
line	+	148.57386769226687	-38.03764561575147	0.0	0.0	false	
line	+	148.58996228163056	-38.12352036375534	0.0	0.0	false	
line	+	148.60548430242284	-38.187864627421966	0.0	0.0	false	
line	+	148.60763579230232	-38.26321304176262	0.0	0.0	false	
line	+	148.60948562963424	-38.32779735247189	0.0	0.0	false	
line	+	148.59791411923922	-38.40338687192768	0.0	0.0	false	
line	+	148.48860343971674	-38.42678764312896	0.0	0.0	false	
line	+	148.39269091048507	-38.439106983879434	0.0	0.0	false	
line	+	148.29595671787183	-38.41905387815432	0.0	0.0	false	
line	+	148.2127628479284	-38.38796164563043	0.0	0.0	false	
line	+	148.12987877267125	-38.36757607648471	0.0	0.0	false	
line	+	148.04794402440913	-38.3901941445226	0.0	0.0	false	
line	+	148.022027882188	-38.46590248778679	0.0	0.0	false	
line	+	148.0373517287973	-38.541086696774485	0.0	0.0	false	
line	+	148.06648791596157	-38.61609112731917	0.0	0.0	false	
line	+	148.1235113943647	-38.70148642830168	0.0	0.0	false	
line	+	148.13899832439571	-38.77665772870404	0.0	0.0	false	
line	+	148.15451994102338	-38.851827185573065	0.0	0.0	false	
line	+	148.1839144579725	-38.92680320892196	0.0	0.0	false	
line	+	148.20002681482853	-39.02349790323578	0.0	0.0	false	
line	+	148.21618674220738	-39.12019089545479	0.0	0.0	false	
line	+	148.2318754067824	-39.19535143786761	0.0	0.0	false	
line	+	148.26176946586872	-39.2810749122734	0.0	0.0	false	
line	+	148.27727981961823	-39.34546480791119	0.0	0.0	false	
line	+	148.3075713578165	-39.44194315618024	0.0	0.0	false	
line	+	148.3513472479208	-39.51667238708692	0.0	0.0	false	
line	+	148.38096507742193	-39.580837007331134	0.0	0.0	false	
line	+	148.4388924966579	-39.65531858534866	0.0	0.0	false	
line	+	148.48264791806423	-39.719235574326305	0.0	0.0	false	
line	+	148.52648580184032	-39.783136910159556	0.0	0.0	false	
line	+	148.5563869945569	-39.84725946516632	0.0	0.0	false	
line	+	148.60037799759544	-39.91113454774227	0.0	0.0	false	
line	+	148.64478264019579	-39.985759006345724	0.0	0.0	false	
line	+	148.71638461271615	-40.02756607500772	0.0	0.0	false	
line	+	148.78842825856702	-40.08009545379741	0.0	0.0	false	
line	+	148.86058369061675	-40.13258192373659	0.0	0.0	false	
line	+	148.93285122090555	-40.18502538171775	0.0	0.0	false	
line	+	149.0201127433587	-40.258664885064036	0.0	0.0	false	
line	+	149.0785274791473	-40.31131112457881	0.0	0.0	false	
line	+	149.10919491018652	-40.37529815624458	0.0	0.0	false	
line	+	149.11205342732987	-40.45064759166978	0.0	0.0	false	
line	+	149.12907877148615	-40.52569555222855	0.0	0.0	false	
line	+	149.1603178403374	-40.60043597866641	0.0	0.0	false	
line	+	149.1916295387759	-40.675169159726906	0.0	0.0	false	
line	+	149.19460678583616	-40.750520222087324	0.0	0.0	false	
line	+	149.22646570798736	-40.83601086933099	0.0	0.0	false	
line	+	149.27353239729422	-40.94270421296633	0.0	0.0	false	
line	+	149.30469963097082	-41.00664763731601	0.0	0.0	false	
line	+	149.35111172607515	-41.091784500712	0.0	0.0	false	
line	+	149.3971830740447	-41.166140333737154	0.0	0.0	false	
line	+	149.41521520793268	-41.251921516465366	0.0	0.0	false	
line	+	149.44810249853455	-41.34812635583891	0.0	0.0	false	
line	+	149.48109217967607	-41.44432421025476	0.0	0.0	false	
line	+	149.48447264715116	-41.51967898881979	0.0	0.0	false	
line	+	149.4883504736642	-41.605800277451515	0.0	0.0	false	
line	+	149.50566947771077	-41.67004538666692	0.0	0.0	false	
line	+	149.50910204528736	-41.74540357975741	0.0	0.0	false	
line	+	149.54091599461856	-41.809296717946296	0.0	0.0	false	
line	+	149.5727954002668	-41.87318253986299	0.0	0.0	false	
line	+	149.61919945452678	-41.93670061520914	0.0	0.0	false	
line	+	149.65122468878826	-42.000567981062616	0.0	0.0	false	
line	+	149.683316261484	-42.06442798820137	0.0	0.0	false	
line	+	149.7009732071244	-42.1286524426073	0.0	0.0	false	
line	+	149.71920180654263	-42.20364136543064	0.0	0.0	false	
line	*	149.62534742308924	-42.36771173868598	0.0	0.0	false	
