Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	83.47342448626522	-69.50914043182422	0.0	0.0	false	null
line	+	83.47342448626522	-69.50914043182422	0.0	0.0	false	
line	+	83.39364043218058	-69.51377479745165	0.0	0.0	false	
line	+	83.32375881665229	-69.51845194045345	0.0	0.0	false	
line	+	83.29394841396129	-69.5182127119245	0.0	0.0	false	
line	+	83.26413868146562	-69.51796840529192	0.0	0.0	false	
line	+	83.22936152601997	-69.51767696296882	0.0	0.0	false	
line	+	83.1898647743798	-69.51385863204924	0.0	0.0	false	
line	+	83.15522182147399	-69.5118140597495	0.0	0.0	false	
line	+	83.11052335356777	-69.51141025213718	0.0	0.0	false	
line	+	83.07575905248787	-69.51108828400085	0.0	0.0	false	
line	+	83.04555579018889	-69.5160216767127	0.0	0.0	false	
line	+	83.02500123139046	-69.52452252301644	0.0	0.0	false	
line	+	82.9991805334129	-69.53644887152117	0.0	0.0	false	
line	+	82.98839541951267	-69.54678072214226	0.0	0.0	false	
line	+	82.97745859224085	-69.55885014328116	0.0	0.0	false	
line	+	82.96650934067524	-69.57091888233694	0.0	0.0	false	
line	+	82.95013397023962	-69.58815160329895	0.0	0.0	false	
line	+	82.9736359609351	-69.60578244882862	0.0	0.0	false	
line	+	82.99274637771579	-69.61640836831589	0.0	0.0	false	
line	+	83.00688268186609	-69.62698383627118	0.0	0.0	false	
line	+	83.03102432801558	-69.6376539772788	0.0	0.0	false	
line	+	83.05546121236858	-69.64484420929325	0.0	0.0	false	
line	+	83.0797810307675	-69.65376936733871	0.0	0.0	false	
line	+	83.11425557851487	-69.66104391271438	0.0	0.0	false	
line	+	83.13874744143189	-69.66822258615561	0.0	0.0	false	
line	+	83.16325583952901	-69.67539785585537	0.0	0.0	false	
line	+	83.19754573273785	-69.68613287115018	0.0	0.0	false	
line	+	83.21684020820591	-69.69673439672212	0.0	0.0	false	
line	+	83.23114141246035	-69.70729180452444	0.0	0.0	false	
line	+	83.24545682900578	-69.71784805674	0.0	0.0	false	
line	+	83.25966714555895	-69.73014160341171	0.0	0.0	false	
line	+	83.27377565968962	-69.74417247366351	0.0	0.0	false	
line	+	83.2880200178223	-69.75646375192298	0.0	0.0	false	
line	+	83.3119895510744	-69.77404919494528	0.0	0.0	false	
line	+	83.33633914897189	-69.78641588432805	0.0	0.0	false	
line	+	83.36094008800798	-69.79530218715766	0.0	0.0	false	
line	+	83.39574200493973	-69.8025216443503	0.0	0.0	false	
