Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	270.87080122295356	-23.967097514396627	0.0	0.0	false	null
line	+	270.87080122295356	-23.967097514396627	0.0	0.0	false	
line	+	270.8549539759736	-23.962716773156572	0.0	0.0	false	
line	+	270.8470402726308	-23.956903004390323	0.0	0.0	false	
line	+	270.8423062840041	-23.948197739767817	0.0	0.0	false	
line	+	270.834394038596	-23.94238331534923	0.0	0.0	false	
line	+	270.82330343738334	-23.939459238472818	0.0	0.0	false	
line	+	270.81535930093554	-23.94523672920408	0.0	0.0	false	
line	+	270.80583734559445	-23.948111658509145	0.0	0.0	false	
line	+	270.79951662486513	-23.940850241305554	0.0	0.0	false	
line	+	270.8011280627985	-23.932159558672566	0.0	0.0	false	
line	+	270.7916288922714	-23.92778804376514	0.0	0.0	false	
line	+	270.78210770107967	-23.93066149626676	0.0	0.0	false	
line	+	270.7725953651763	-23.930636132935927	0.0	0.0	false	
line	+	270.7662773654904	-23.92337334040138	0.0	0.0	false	
line	+	270.7567800212438	-23.918999659866042	0.0	0.0	false	
line	+	270.7456833057294	-23.918968173269278	0.0	0.0	false	
line	+	270.7361566923001	-23.923287873018463	0.0	0.0	false	
line	+	270.72978989439275	-23.930514670370265	0.0	0.0	false	
line	+	270.7202618870133	-23.934833376704827	0.0	0.0	false	
line	+	270.7107439142059	-23.93625327152663	0.0	0.0	false	
line	+	270.70121483892694	-23.940570788674627	0.0	0.0	false	
line	+	270.6900939864897	-23.946331693128066	0.0	0.0	false	
line	+	270.68055778443	-23.952097026449895	0.0	0.0	false	
line	+	270.6726006726584	-23.959316191278592	0.0	0.0	false	
line	+	270.6646367968876	-23.96798404478945	0.0	0.0	false	
line	+	270.65826372865433	-23.975207847756085	0.0	0.0	false	
line	+	270.65505601116615	-23.983891513384172	0.0	0.0	false	
line	+	270.6470894019662	-23.992558445391985	0.0	0.0	false	
line	+	270.635961584814	-23.998315396859198	0.0	0.0	false	
line	+	270.62483908561774	-24.00262243456543	0.0	0.0	false	
line	+	270.61213597592996	-24.005473626433233	0.0	0.0	false	
line	+	270.6026181307576	-24.005437676121517	0.0	0.0	false	
line	+	270.59310029013307	-24.005401133245414	0.0	0.0	false	
line	+	270.58514167890115	-24.011166626568205	0.0	0.0	false	
line	+	270.5740025524126	-24.018368159470185	0.0	0.0	false	
line	+	270.56603527665425	-24.025581753213224	0.0	0.0	false	
line	+	270.5564875530875	-24.031339320414315	0.0	0.0	false	
line	+	270.5421643495238	-24.039974550158473	0.0	0.0	false	
line	+	270.5326144679625	-24.045730622483237	0.0	0.0	false	
line	+	270.5246505968372	-24.05149295580381	0.0	0.0	false	
