Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	109.99798866769069	-47.73743904634582	0.0	0.0	false	null
line	+	109.99798866769069	-47.73743904634582	0.0	0.0	false	
line	+	109.8136090719544	-47.675653224011434	0.0	0.0	false	
line	+	109.65263696325025	-47.61360851814929	0.0	0.0	false	
line	+	109.51493482517395	-47.56691326532149	0.0	0.0	false	
line	+	109.37756998729927	-47.50454844218464	0.0	0.0	false	
line	+	109.21747756893436	-47.457461299807036	0.0	0.0	false	
line	+	109.08055737125517	-47.410286983415624	0.0	0.0	false	
line	+	108.94387754284432	-47.36296224291333	0.0	0.0	false	
line	+	108.73972739377741	-47.268420921417516	0.0	0.0	false	
line	+	108.62682656087857	-47.20541077565518	0.0	0.0	false	
line	+	108.44658526712763	-47.11058878845457	0.0	0.0	false	
line	+	108.33474456668807	-47.0318019589405	0.0	0.0	false	
line	+	108.15602618669448	-46.92104867428419	0.0	0.0	false	
line	+	108.00017809768703	-46.82586946310909	0.0	0.0	false	
line	+	107.84434010437792	-46.74600561456787	0.0	0.0	false	
line	+	107.71152665235613	-46.666317792994505	0.0	0.0	false	
line	+	107.60104128829364	-46.6023877438729	0.0	0.0	false	
line	+	107.4007319087387	-46.53668613541752	0.0	0.0	false	
line	+	107.22408507290073	-46.45561479263619	0.0	0.0	false	
line	+	107.11457743651637	-46.391250847855495	0.0	0.0	false	
line	+	106.98289070923747	-46.32628860420174	0.0	0.0	false	
line	+	106.8754920967631	-46.230708090706464	0.0	0.0	false	
line	+	106.90335128440265	-46.122718242694944	0.0	0.0	false	
line	+	106.97494901963893	-46.03124372271903	0.0	0.0	false	
line	+	107.09086057263809	-45.94070341218239	0.0	0.0	false	
line	+	107.20570391923752	-45.86555586183375	0.0	0.0	false	
line	+	107.27646771034512	-45.773907382688584	0.0	0.0	false	
line	+	107.32742824801302	-45.61977117306362	0.0	0.0	false	
line	+	107.33262067299901	-45.495753758283435	0.0	0.0	false	
line	+	107.31507621179024	-45.386801319430354	0.0	0.0	false	
line	+	107.29889512082491	-45.24684651508551	0.0	0.0	false	
line	+	107.30344158179732	-45.13834002629769	0.0	0.0	false	
line	+	107.30860837531306	-45.0143348648138	0.0	0.0	false	
line	+	107.31438414387783	-44.87483176225913	0.0	0.0	false	
line	+	107.32075629716229	-44.719831435389345	0.0	0.0	false	
line	+	107.32581995353718	-44.595833358716725	0.0	0.0	false	
line	+	107.33210734728256	-44.440838260388276	0.0	0.0	false	
line	+	107.29315048977486	-44.33146145170203	0.0	0.0	false	
line	+	107.27786428696545	-44.17602738398524	0.0	0.0	false	
line	+	107.23916471159032	-44.06663624179953	0.0	0.0	false	
line	+	107.20060021335452	-43.95723370923068	0.0	0.0	false	
line	+	107.16216974607156	-43.847819752145824	0.0	0.0	false	
line	+	107.1446602100904	-43.75436524048334	0.0	0.0	false	
line	+	107.12786391655455	-43.645411712582124	0.0	0.0	false	
line	+	107.1338186800218	-43.5059384176564	0.0	0.0	false	
line	+	107.11709463796106	-43.396984934175414	0.0	0.0	false	
line	+	107.10108674810698	-43.27253296423991	0.0	0.0	false	
line	+	107.08446989279287	-43.163575883228454	0.0	0.0	false	
line	+	107.00427969429462	-43.05314289302749	0.0	0.0	false	
line	+	106.923668649391	-42.958150535595735	0.0	0.0	false	
line	+	106.84545674937975	-42.81661770793927	0.0	0.0	false	
line	+	106.78647591635082	-42.72205462112546	0.0	0.0	false	
line	+	106.72766872665818	-42.627461565132	0.0	0.0	false	
line	+	106.6900621010421	-42.53339502370985	0.0	0.0	false	
line	+	106.69455592448978	-42.44043104334933	0.0	0.0	false	
line	+	106.70051775737093	-42.31647825726434	0.0	0.0	false	
line	+	106.6862751639284	-42.17647705889267	0.0	0.0	false	
line	+	106.69072649328173	-42.083511647538465	0.0	0.0	false	
line	+	106.6534643585578	-41.98943139960153	0.0	0.0	false	
line	+	106.61630657541534	-41.89533855241694	0.0	0.0	false	
line	+	106.5369122717823	-41.815570276762784	0.0	0.0	false	
line	+	106.50001622832305	-41.721438624151496	0.0	0.0	false	
line	+	106.4209729875745	-41.641588648936946	0.0	0.0	false	
line	+	106.32059874121647	-41.57655602391053	0.0	0.0	false	
line	+	106.2221053600654	-41.480451180856605	0.0	0.0	false	
line	+	106.10325252628485	-41.38360075903425	0.0	0.0	false	
line	+	106.02509400405975	-41.303473790356094	0.0	0.0	false	
line	+	105.9265305752888	-41.22260057701653	0.0	0.0	false	
line	+	105.82728141782482	-41.157129856834175	0.0	0.0	false	
line	+	105.68904425555239	-41.059128459528345	0.0	0.0	false	
line	+	105.56877343740005	-41.008178228155785	0.0	0.0	false	
line	+	105.44969759905842	-40.94161322555336	0.0	0.0	false	
line	+	105.28571957608689	-40.93524770231981	0.0	0.0	false	
line	+	105.12177298017758	-40.928642260576645	0.0	0.0	false	
line	+	104.95785895940551	-40.92179699548505	0.0	0.0	false	
line	+	104.77349605040229	-40.91380953126486	0.0	0.0	false	
line	+	104.60965505446985	-40.90645497304205	0.0	0.0	false	
line	+	104.46632379800066	-40.89982326270833	0.0	0.0	false	
line	+	104.24114672089793	-40.88903169684401	0.0	0.0	false	
line	+	104.07742737312849	-40.88089915455467	0.0	0.0	false	
line	+	103.93420558950181	-40.87358700886876	0.0	0.0	false	
line	+	103.7296574618696	-40.862823642084145	0.0	0.0	false	
line	+	103.54562052135194	-40.852817479192915	0.0	0.0	false	
line	+	103.40251866985321	-40.844826005852696	0.0	0.0	false	
line	+	103.2390154546825	-40.83546919210349	0.0	0.0	false	
line	+	103.10378547060908	-40.74979785789397	0.0	0.0	false	
line	+	103.09428455692426	-40.640381951744445	0.0	0.0	false	
line	+	103.1849710064626	-40.552437865955056	0.0	0.0	false	
line	+	103.35669524018557	-40.46909798725727	0.0	0.0	false	
line	+	103.48301754428324	-40.42961440190197	0.0	0.0	false	
line	+	103.64979540185858	-40.39221246365754	0.0	0.0	false	
line	+	103.77302364706117	-40.383332224225946	0.0	0.0	false	
line	+	103.91922015557127	-40.34443657757012	0.0	0.0	false	
line	+	104.06392891824862	-40.32082054779465	0.0	0.0	false	
line	+	104.20981140704694	-40.281541240618004	0.0	0.0	false	
line	+	104.3567609709737	-40.22659314429235	0.0	0.0	false	
line	+	104.48200206774696	-40.18597242894924	0.0	0.0	false	
line	+	104.62850848944619	-40.13066197685019	0.0	0.0	false	
line	+	104.7533981972931	-40.08973285905351	0.0	0.0	false	
line	+	104.91746463342963	-40.06590750322759	0.0	0.0	false	
line	+	105.0824798096239	-40.02635338842007	0.0	0.0	false	
line	+	105.26852496562563	-39.971880439088125	0.0	0.0	false	
line	+	105.3917228244282	-39.94571629926601	0.0	0.0	false	
line	+	105.57633730802759	-39.90621193460977	0.0	0.0	false	
line	+	105.86248994635666	-39.85447495056621	0.0	0.0	false	
line	+	105.9852344770664	-39.8276474762468	0.0	0.0	false	
