Name           Type    RA            Dec           Smax     Smin     PosAng   B-Mag    V-Mag    J-Mag    H-Mag    K-Mag    SurfBr   Hubble  Cstar U-MagCstar B-MagCstar V-MagM      NGC        IC         Cstar Names                 Names                                                                                                                                                                                                      Notes                                                                 
IC4715         *Ass    18:16:56.1    -18:30:52     120.00   60.00                                                                                                            024                                                      Small SGR Star Cloud                                                                                                                                                                                       
IC4725         OCl     18:31:46.7    -19:06:54     14.10                      5.29     4.60                                                                                  025                                                      MWSC2940                                                                                                                                                                                                   
NGC0001        G       00:07:15.84   +27:42:29.1   1.57     1.07     112      13.40             10.78    10.02    9.76     23.13    Sb                                                                                                2MASX J00071582+2742291,IRAS 00047+2725,MCG +04-01-025,PGC 000564,UGC 00057                                                                                                                                
NGC0002        G       00:07:17.11   +27:40:42.1   0.95     0.47     110      14.80             11.85    11.15    10.94    23.15    Sab                                                                                               2MASX J00071710+2740421,MCG +04-01-026,PGC 000567,UGC 00059                                                                                                                                                
NGC0003        G       00:07:16.80   +08:18:05.9   1.02     0.59     112      14.60             11.01    10.36    9.98     23.01    S0                                                                                                2MASX J00071680+0818058,IRAS 00047+0801,MCG +01-01-037,PGC 000565,UGC 00058                                                                                                                                
NGC0004        G       00:07:24.41   +08:22:25.6   0.53     0.24     32                                                    23.59    S?                                                                                                2MASX J00072439+0822253,PGC 212468                                                                                                                                                                         
NGC0005        G       00:07:48.87   +35:21:44.3   0.98     0.59     111      14.60             11.52    10.86    10.63    23.51    E                                                                                                 2MASX J00074889+3521444,MCG +06-01-013,PGC 000595,UGC 00062                                                                                                                                                
NGC0006        G       00:09:32.70   +33:18:31.2   1.73     1.34     141      14.50             10.35    9.60     9.42     24.14    E-S0                                            0020                                              2MASX J00093270+3318310,MCG +05-01-036,PGC 000679,UGC 00084                                                                                                                                                
NGC0007        G       00:08:20.96   -29:54:54.0   2.47     0.53     23       13.88                                        23.83    Sc                                                                                                ESO 409-022,ESO-LV 409-0220,MCG -05-01-037,PGC 000627                                                                                                                                                      
NGC0008        **      00:08:45.30   +23:50:20.0                                                                                                                                                                                      PGC 000648                                                                                                                                                                                                 
NGC0009        G       00:08:54.70   +23:49:01.1   0.70     0.31     149      14.50             12.69    11.95    11.78    22.64    Sb                                                                                                2MASX J00085471+2349009,IRAS 00063+2332,MCG +04-01-030,PGC 000652,UGC 00078                                                                                                                                
NGC0010        G       00:08:34.54   -33:51:30.0   2.35     1.27     30       13.13             10.21    9.50     9.21     23.38    Sbc                                                                                               2MASX J00083453-3351299,ESO 349-032,ESO-LV 349-0320,IRAS 00060-3408,MCG -06-01-024,PGC 000634                                                                                                              
NGC0011        G       00:08:42.50   +37:26:52.5   1.44     0.22     111      14.50             11.11    10.33    9.93     23.27    Sa                                                                                                2MASX J00084249+3726523,IRAS 00061+3710,MCG +06-01-015,PGC 000642,UGC 00073                                                                                                                                
NGC0012        G       00:08:44.75   +04:36:45.1   1.52     1.21     127      14.50             11.13    10.38    10.28    23.30    Sc                                                                                                2MASX J00084475+0436451,MCG +01-01-040,PGC 000645,UGC 00074                                                                                                                                                
NGC0013        G       00:08:47.72   +33:26:00.0   2.28     0.60     54       14.20             10.68    10.00    9.75     23.79    Sb                                                                                                2MASX J00084772+3326000,MCG +05-01-034,PGC 000650,UGC 00077                                                                                                                                                
NGC0014        G       00:08:46.40   +15:48:56.0   1.53     1.01     23       13.30             11.25    10.74    10.42    22.31    IB                                                                                                2MASX J00084642+1548559,MCG +02-01-021,MCG +03-01-026,PGC 000647,SDSS J000846.41+154856.5,UGC 00075                                                                                                        
NGC0015        G       00:09:02.47   +21:37:28.3   1.07     0.56     30       14.90             11.36    10.60    10.30    23.60    Sa                                                                                                2MASX J00090246+2137279,MCG +03-01-027,PGC 000661,UGC 00082                                                                                                                                                
NGC0016        G       00:09:04.29   +27:43:45.9   1.74     0.85     17       13.01    12.06    9.75     9.06     8.78     22.91    E-S0                                                                                              2MASX J00090429+2743460,MCG +04-01-032,PGC 000660,UGC 00080                                                                                                                                                
NGC0017        G       00:11:06.55   -12:06:26.3   1.15     0.39     32       14.14    13.52    11.24    10.46    10.07    23.28    S0-a                                            0034                                              2MASX J00110661-1206283,IRAS 00085-1223,MCG -02-01-032,PGC 000781                                                                                                                                          
NGC0018        **      00:09:23.10   +27:43:55.5                                                                                                                                                                                                                                                                                                                                                                                                 
NGC0019        G       00:10:40.87   +32:58:59.1   1.21     0.60     41       13.90             11.47    10.79    10.53    22.61    SBbc                                                                                              2MASX J00104087+3258592,IRAS 00080+3242,MCG +05-01-046,PGC 000759,UGC 00098                                                                                                                                
NGC0020        Dup     00:09:32.70   +33:18:31.2                              14.50             10.35    9.60     9.42                                                              0006                                                                                                                                                                                                                                                         
NGC0021        G       00:10:46.90   +33:21:10.2   1.38     0.63     150      13.50             11.25    10.61    10.33    22.25    Sbc                                             0029                                              2MASX J00104688+3321102,IRAS 00082+3304,MCG +05-01-048,PGC 000767,UGC 00100                                                                                                                                
NGC0022        G       00:09:48.19   +27:49:56.3   1.21     0.74     155      14.90             11.61    11.00    10.65    23.55    Sb                                                                                                2MASX J00094817+2749564,MCG +05-01-039,PGC 000690,UGC 00086                                                                                                                                                
NGC0023        G       00:09:53.41   +25:55:25.6   1.55     1.22     175      12.50             9.91     9.21     8.88     22.41    Sa                                                                                                2MASX J00095341+2555254,IRAS 00073+2538,MCG +04-01-033,PGC 000698,SDSS J000953.42+255525.6,UGC 00089                                                                                                       
NGC0024        G       00:09:56.54   -24:57:47.3   6.18     2.40     44       12.20    11.58    9.71     9.11     8.96     24.01    Sc                                                                                                2MASX J00095654-2457472,ESO 472-016,ESO-LV 472-0160,IRAS 00073-2514,MCG -04-01-018,PGC 000701,UGCA 002                                                                                                     
NGC0025        G       00:09:59.28   -57:01:15.0   1.43     1.10     84       13.99    15.50    10.80    10.03    9.79     23.49    E-S0                                                                                              2MASX J00095929-5701148,ESO 149-019,ESO-LV 149-0190,PGC 000706                                                                                                                                             
NGC0026        G       00:10:25.87   +25:49:54.6   1.12     0.76     102      13.90             11.42    10.69    10.42    22.80    Sab                                                                                               2MASX J00102587+2549544,IRAS 00078+2533,MCG +04-01-034,PGC 000732,UGC 00094                                                                                                                                
NGC0027        G       00:10:32.77   +28:59:46.5   1.22     0.46     118      14.50             11.47    10.67    10.43    22.98    Sbc                                                                                               2MASX J00103277+2859464,IRAS 00079+2843,MCG +05-01-044,PGC 000742,UGC 00096                                                                                                                                
NGC0028        G       00:10:25.24   -56:59:20.9   0.92     0.81     45       15.37             11.64    10.93    10.76    23.92    E                                                                                                 2MASX J00102524-5659209,PGC 000730                                                                                                                                                                         
NGC0029        Dup     00:10:46.90   +33:21:10.2                              13.50             11.25    10.61    10.33                                                             0021                                                                                                                                                                                                                                                         
NGC0030        **      00:10:50.79   +21:58:37.1                                                                                                                                                                                                                                                                                                                                                                                                 
NGC0031        G       00:10:38.39   -56:59:11.4   1.17     0.53     2        14.63             12.08    11.50    11.13    22.97    Sc                                                                                                2MASX J00103838-5659114,ESO 149-020,ESO-LV 149-0200,PGC 000751                                                                                                                                             
NGC0032        *       00:10:53.59   +18:47:45.6                                                                                                                                                                                                                                                                                                                                                                                                 
NGC0033        **      00:10:56.64   +03:40:33.3                                                                                                                                                                                                                                                                                                                                                                                                 
NGC0034        Dup     00:11:06.55   -12:06:26.3                              14.14    13.52    11.24    10.46    10.07                                                             0017                                                                                                                                                                                                                                                         
NGC0035        G       00:11:10.48   -12:01:15.3   0.76     0.62     138      14.00             12.57    11.91    11.68    22.87    Sb                                                                                                2MASX J00111050-1201146,IRAS 00086-1217,MCG -02-01-033,PGC 000784                                                                                                                                          
NGC0036        G       00:11:22.30   +06:23:21.7   2.14     1.32     15       14.50             10.71    9.96     9.60     24.43    SABb                                                                                              2MASX J00112231+0623212,IRAS 00088+0606,MCG +01-01-043,PGC 000798,SDSS J001122.29+062321.6,UGC 00106                                                                                                       
NGC0037        G       00:11:22.93   -56:57:26.4   1.11     0.68     30       14.70             11.41    10.67    10.43    23.86    S0                                                                                                2MASX J00112290-5657264,ESO 149-022,ESO-LV 149-0220,PGC 000801                                                                                                                                             
NGC0038        G       00:11:46.99   -05:35:10.6   1.14     1.05     170      13.50             10.75    10.08    9.80     23.18    Sa                                                                                                2MASX J00114698-0535103,MCG -01-01-047,PGC 000818                                                                                                                                                          
NGC0039        G       00:12:18.86   +31:03:39.9   1.10     0.99     87       14.40             11.59    11.06    10.59    23.20    Sc                                                                                                2MASX J00121885+3103399,MCG +05-01-052,PGC 000852,UGC 00114                                                                                                                                                
NGC0040        PN      00:13:01.03   +72:31:19.0   0.80                       11.63    11.46    10.89    10.80    10.38                     11.14      11.82      11.58                                   HD 000826,HIP 001041,TYC 430IRAS 00102+7214,PN G120.0+09.8                                                                                                                                                                             
NGC0041        G       00:12:47.97   +22:01:24.2   0.94     0.53     125      14.60             11.68    11.06    10.61    22.67    Sc                                                                                                2MASX J00124795+2201239,IRAS 00101+2144,MCG +04-01-039,PGC 000865                                                                                                                                          
NGC0042        G       00:12:56.35   +22:06:01.1   0.86     0.50     114      15.00             11.11    10.41    10.11    23.40    E-S0                                                                                              2MASX J00125636+2206009,MCG +04-01-041,PGC 000867,UGC 00118                                                                                                                                                
NGC0043        G       00:13:00.75   +30:54:55.0   1.39     1.21     100      13.90             10.43    9.74     9.45     23.33    S0                                                                                                2MASX J00130073+3054551,MCG +05-01-054,PGC 000875,UGC 00120                                                                                                                                                
NGC0044        **      00:13:13.40   +31:17:10.5                                                                                                                                                                                                                                                                                                                                                                                                 
NGC0045        G       00:14:03.99   -23:10:55.5   6.18     4.44     159      11.21    10.73    9.83     9.20     9.09     23.80    SABd                                                                                              2MASX J00140398-2310555,ESO 473-001,ESO-LV 473-0010,IRAS 00115-2327,MCG -04-01-021,PGC 000930,UGCA 004                                                                                                     
NGC0046        *       00:14:09.86   +05:59:15.7                              12.95    11.68    10.98    10.68    10.61                                                                                                               TYC 8-572-1,UCAC2 33683502,UCAC3 192-840                                                                                                                                                                   
NGC0047        G       00:14:30.64   -07:10:02.8   1.35     1.09     85       13.40             10.96    10.25    9.96     23.20    SBbc                                            0058                                              2MASX J00143065-0710028,IRAS 00119-0726,MCG -01-01-055,PGC 000967                                                                                                                                          
NGC0048        G       00:14:02.19   +48:14:05.5   1.34     0.61     15       15.00             11.39    10.75    10.40    23.59    SABb                                                                                              2MASX J00140221+4814055,IRAS 00113+4757,MCG +08-01-031,PGC 000929,UGC 00133                                                                                                                                
NGC0049        G       00:14:22.43   +48:14:47.8   0.93     0.59     161      15.30             11.42    10.74    10.52    23.72    S0                                                                                                2MASX J00142243+4814475,MCG +08-01-033,PGC 000952,UGC 00136                                                                                                                                                
NGC0050        G       00:14:44.57   -07:20:42.3   2.04     1.17     154      12.00             9.65     8.97     8.67     23.16    E-S0                                                                                              2MASX J00144455-0720423,MCG -01-01-058,PGC 000983,SDSS J001444.57-072042.4                                                                                                                                 
NGC0051        G       00:14:34.92   +48:15:20.5   1.40     0.80     32       14.60             10.49    9.76     9.48     23.86    S0                                                                                                2MASX J00143489+4815198,MCG +08-01-035,PGC 000974,UGC 00138                                                                                                                                                
NGC0052        G       00:14:40.11   +18:34:55.3   2.26     0.61     126      14.60             10.69    9.87     9.50     23.83    Sbc                                                                                               2MASX J00144010+1834551,IRAS 00120+1818,MCG +03-01-030,PGC 000978,UGC 00140                                                                                                                                
NGC0053        G       00:14:42.85   -60:19:43.5   1.54     0.95     178      13.70             10.79    10.02    10.02    22.69    SBb                                                                                               2MASX J00144279-6019425,ESO 111-020,ESO-LV 111-0200,PGC 000982                                                                                                                                             
NGC0054        G       00:15:07.67   -07:06:24.2   1.35     0.49     93       14.00             11.15    10.46    10.08    23.21    SBa                                                                                               2MASX J00150767-0706243,MCG -01-01-060,PGC 001011                                                                                                                                                          
NGC0055        G       00:14:53.60   -39:11:47.9   29.85    3.05     101      8.58     7.87     6.98     6.55     6.25     22.52    SBm                                                                                               2MASX J00145360-3911478,ESO 293-050,ESO-LV 293-0500,IRAS 00125-3928,MCG -07-01-013,PGC 001014                                                                                                              
NGC0056        Other   00:15:20.66   +12:26:40.3                                                                                                                                                                                                                                                                                                                                                                                                 
NGC0057        G       00:15:30.87   +17:19:42.7   2.11     1.60     47       13.70             9.71     8.98     8.68     23.19    E                                                                                                 2MASX J00153087+1719422,MCG +03-01-031,PGC 001037,SDSS J001530.91+171942.3,UGC 00145                                                                                                                       
NGC0058        Dup     00:14:30.64   -07:10:02.8                                                                                                                                    0047                                                                                                                                                                                                                                                         
NGC0059        G       00:15:25.13   -21:26:39.8   2.38     1.24     121      13.21    12.59    10.89    10.26    10.10    23.72    E-S0                                                                                              2MASX J00152512-2126396,ESO 539-004,ESO-LV 539-0040,MCG -04-01-026,PGC 001034                                                                                                                              
NGC0060        G       00:15:58.24   -00:18:12.7   1.03     0.66     29       15.54    14.86    12.11    11.31    11.24    23.66    Sc                                                                                                2MASX J00155824-0018130,MCG +00-01-048,PGC 001058,SDSS J001558.24-001812.6,SDSS J001558.24-001812.7,SDSS J001558.25-001812.6,UGC 00150                                                                     
NGC0061A       G       00:16:24.34   -06:19:18.9   1.48     1.14     179      15.00             10.59    9.86     9.52     23.57    S0                                                                                                2MASX J00162433-0619186,MCG -01-01-062,PGC 001083                                                                                                                                                          
NGC0061B       G       00:16:24.07   -06:19:07.9   1.34     1.04              15.50                                        23.41    S0                                                                                                MCG -01-01-063,PGC 001085                                                                                                                                                                                  
NGC0062        G       00:17:05.42   -13:29:13.6   0.99     0.73     125      14.00             11.43    10.77    10.56    22.87    SBa                                                                                               2MASX J00170541-1329138,IRAS 00145-1345,MCG -02-01-043,PGC 001125                                                                                                                                          
NGC0063        G       00:17:45.52   +11:27:01.2   1.72     1.04     108      12.60             10.16    9.49     9.26     22.59    E-S0                                                                                              2MASX J00174552+1127012,IRAS 00151+1110,MCG +02-01-030,PGC 001160,UGC 00167                                                                                                                                
NGC0064        G       00:17:30.37   -06:49:28.6   1.38     0.90     35       13.56             11.30    10.60    10.29    23.10    SBbc                                                                                              2MASX J00173036-0649286,IRAS 00149-0706,MCG -01-01-068,PGC 001149                                                                                                                                          
NGC0065        G       00:18:58.71   -22:52:49.3   1.02     0.83     168      14.65             11.73    11.08    10.76    23.46    E-S0                                                                                              2MASX J00185872-2252491,ESO 473-010A,ESO-LV 473-2100,MCG -04-02-001,PGC 001229                                                                                                                             
NGC0066        G       00:19:04.94   -22:56:11.0   1.24     0.50     35       14.21             11.36    10.65    10.39    22.68    SBb                                                                                               2MASX J00190494-2256111,ESO 473-010,ESO-LV 473-0100,IRAS 00165-2312,MCG -04-02-002,PGC 001236                                                                                                              
NGC0067        G       00:18:12.19   +30:03:19.9   0.49     0.33     111                        13.24    12.49    12.24    23.66                                                    0067A                                             2MASX J00181219+3003195,PGC 138159                                                                                                                                                                         
NGC0068        G       00:18:18.49   +30:04:18.3   1.29     1.20     45       14.50             10.69    9.86     9.60     23.72    E-S0                                                                                              2MASX J00181851+3004185,MCG +05-01-065,PGC 001187,UGC 00170                                                                                                                                                
NGC0069        G       00:18:20.51   +30:02:23.9   0.60     0.43     5        15.70             12.56    11.97    11.65    23.39    E-S0                                                                                              2MASX J00182051+3002235,MCG +05-01-066,PGC 001191                                                                                                                                                          
NGC0070        G       00:18:22.54   +30:04:46.5   1.69     1.39     3        14.50             10.47    9.90     9.67     24.07    Sbc                                                        1539                                   2MASX J00182252+3004465,MCG +05-01-067,PGC 001194,UGC 00174                                                                                                                                                
NGC0071        G       00:18:23.58   +30:03:47.7   1.95     1.46     109      14.80             10.38    9.71     9.54     24.40    E-S0                                                                                              2MASX J00182359+3003475,MCG +05-01-068,PGC 001197,UGC 00173                                                                                                                                                
NGC0072        G       00:18:28.37   +30:02:26.5   1.16     1.06     85       15.00             11.40    10.70    10.35    23.61    Sab                                                                                               2MASX J00182837+3002265,MCG +05-01-069,PGC 001204,UGC 00176                                                                                                                                                
NGC0072A       G       00:18:34.3    +30:02:11     0.38     0.29     155      15.10             12.44    11.64    11.30    22.43    E                                                                                                 2MASX J00183435+3002106,MCG +05-01-070,PGC 001208,UGC 00170 NOTES01                                                                                                                                        
NGC0073        G       00:18:39.01   -15:19:20.1   1.68     1.01     145      13.00             10.96    10.24    9.90     23.83    SABb                                                                                              2MASX J00183897-1519200,MCG -03-01-026,PGC 001211                                                                                                                                                          
NGC0074        G       00:18:49.34   +30:03:43.1   0.83     0.35     131      16.00             12.59    11.84    11.69    23.32    Sbc                                                                                               2MASX J00184929+3003436,MCG +05-01-071,PGC 001219                                                                                                                                                          
NGC0075        G       00:19:26.33   +06:26:57.7   1.82     1.82     70       14.80             11.07    10.41    10.11    24.69    S0                                                                                                2MASX J00192635+0626573,MCG +01-01-051,PGC 001255,UGC 00182                                                                                                                                                
NGC0076        G       00:19:37.79   +29:56:01.9   1.28     1.00     78       14.00             11.07    10.36    10.06    23.54    E                                                                                                 2MASX J00193779+2956017,MCG +05-01-072,PGC 001267,UGC 00185                                                                                                                                                
